<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.15	21:00:00	1.01649	1.01656	1.01544	1.01562	2899	0	50
2022.08.15	22:00:00	1.01562	1.01644	1.01562	1.01608	2417	0	50
2022.08.15	23:00:00	1.01608	1.01642	1.01558	1.01596	1614	0	1
2022.08.16	00:00:00	1.01579	1.01626	1.01563	1.01596	483	0	2
2022.08.16	01:00:00	1.01595	1.01671	1.01533	1.01624	2189	0	1
2022.08.16	02:00:00	1.01622	1.01637	1.01589	1.01611	1466	0	1
2022.08.16	03:00:00	1.01611	1.01618	1.01476	1.01537	3323	0	1
2022.08.16	04:00:00	1.01538	1.01588	1.01490	1.01571	4025	0	1
2022.08.16	05:00:00	1.01571	1.01689	1.01570	1.01689	2622	0	1
2022.08.16	06:00:00	1.01689	1.01699	1.01610	1.01623	2140	0	1
2022.08.16	07:00:00	1.01623	1.01637	1.01578	1.01591	1527	0	50
2022.08.16	08:00:00	1.01591	1.01654	1.01552	1.01642	2209	0	50
2022.08.16	09:00:00	1.01641	1.01689	1.01517	1.01543	5629	0	50
2022.08.16	10:00:00	1.01543	1.01629	1.01341	1.01602	7855	0	50
2022.08.16	11:00:00	1.01600	1.01607	1.01351	1.01386	6732	0	50
2022.08.16	12:00:00	1.01388	1.01420	1.01248	1.01338	6105	0	50
2022.08.16	13:00:00	1.01339	1.01425	1.01259	1.01337	4368	0	50
2022.08.16	14:00:00	1.01337	1.01362	1.01224	1.01278	5255	0	50
2022.08.16	15:00:00	1.01279	1.01466	1.01250	1.01439	6482	0	50
2022.08.16	16:00:00	1.01440	1.01782	1.01431	1.01763	7644	0	50
2022.08.16	17:00:00	1.01763	1.01949	1.01651	1.01789	9013	0	50
2022.08.16	18:00:00	1.01789	1.01837	1.01714	1.01732	5425	0	50
2022.08.16	19:00:00	1.01732	1.01738	1.01630	1.01659	3745	0	50
2022.08.16	20:00:00	1.01660	1.01789	1.01657	1.01760	2284	0	50
2022.08.16	21:00:00	1.01761	1.01808	1.01626	1.01683	3817	0	50
2022.08.16	22:00:00	1.01685	1.01712	1.01622	1.01704	3738	0	50
2022.08.16	23:00:00	1.01704	1.01726	1.01682	1.01702	1302	0	1
2022.08.17	00:00:00	1.01698	1.01707	1.01638	1.01669	4473	0	2
2022.08.17	01:00:00	1.01685	1.01734	1.01670	1.01705	1318	0	2
2022.08.17	02:00:00	1.01704	1.01749	1.01692	1.01694	916	0	1
2022.08.17	03:00:00	1.01694	1.01737	1.01661	1.01707	2641	0	1
2022.08.17	04:00:00	1.01706	1.01765	1.01665	1.01719	3240	0	1
2022.08.17	05:00:00	1.01719	1.01794	1.01688	1.01736	2628	0	1
2022.08.17	06:00:00	1.01737	1.01765	1.01682	1.01733	2212	0	1
2022.08.17	07:00:00	1.01732	1.01840	1.01690	1.01817	1710	0	50
2022.08.17	08:00:00	1.01817	1.01855	1.01764	1.01823	1997	0	50
2022.08.17	09:00:00	1.01822	1.01867	1.01568	1.01634	6222	0	50
2022.08.17	10:00:00	1.01635	1.01677	1.01494	1.01666	7919	0	50
2022.08.17	11:00:00	1.01666	1.01841	1.01517	1.01741	6372	0	50
2022.08.17	12:00:00	1.01741	1.01840	1.01687	1.01815	4994	0	50
2022.08.17	13:00:00	1.01815	1.01822	1.01657	1.01748	4460	0	50
2022.08.17	14:00:00	1.01747	1.01748	1.01542	1.01676	6250	0	50
2022.08.17	15:00:00	1.01674	1.01709	1.01457	1.01585	8843	0	50
